age,job,marital,education,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,class
59,admin.,married,secondary,2343,yes,no,unknown,may,1042,1,-1,0,unknown,engage
56,admin.,married,secondary,45,no,no,unknown,may,1467,1,-1,0,unknown,engage
41,technician,married,secondary,1270,yes,no,unknown,may,1389,1,-1,0,unknown,engage
55,services,married,secondary,2476,yes,no,unknown,may,579,1,-1,0,unknown,engage
54,admin.,married,tertiary,184,no,no,unknown,may,673,2,-1,0,unknown,engage
42,management,single,tertiary,0,yes,yes,unknown,may,562,2,-1,0,unknown,engage
56,management,married,tertiary,830,yes,yes,unknown,may,1201,1,-1,0,unknown,engage
60,retired,divorced,secondary,545,yes,no,unknown,may,1030,1,-1,0,unknown,engage
37,technician,married,secondary,1,yes,no,unknown,may,608,1,-1,0,unknown,engage
28,services,single,secondary,5090,yes,no,unknown,may,1297,3,-1,0,unknown,engage
38,admin.,single,secondary,100,yes,no,unknown,may,786,1,-1,0,unknown,engage
30,blue-collar,married,secondary,309,yes,no,unknown,may,1574,2,-1,0,unknown,engage
29,management,married,tertiary,199,yes,yes,unknown,may,1689,4,-1,0,unknown,engage
46,blue-collar,single,tertiary,460,yes,no,unknown,may,1102,2,-1,0,unknown,engage
31,technician,single,tertiary,703,yes,no,unknown,may,943,2,-1,0,unknown,engage
35,management,divorced,tertiary,3837,yes,no,unknown,may,1084,1,-1,0,unknown,engage
32,blue-collar,single,primary,611,yes,no,unknown,may,541,3,-1,0,unknown,engage
49,services,married,secondary,-8,yes,no,unknown,may,1119,1,-1,0,unknown,engage
41,admin.,married,secondary,55,yes,no,unknown,may,1120,2,-1,0,unknown,engage
49,admin.,divorced,secondary,168,yes,yes,unknown,may,513,1,-1,0,unknown,engage
28,admin.,divorced,secondary,785,yes,no,unknown,may,442,2,-1,0,unknown,engage
43,management,single,tertiary,2067,yes,no,unknown,may,756,1,-1,0,unknown,engage
43,management,divorced,tertiary,388,yes,no,unknown,may,2087,2,-1,0,unknown,engage
43,blue-collar,married,primary,-192,yes,no,unknown,may,1120,2,-1,0,unknown,engage
37,unemployed,single,secondary,381,yes,no,unknown,may,985,2,-1,0,unknown,engage
35,blue-collar,single,secondary,40,yes,no,unknown,may,617,4,-1,0,unknown,engage
31,technician,single,tertiary,22,yes,no,unknown,may,483,3,-1,0,unknown,engage
43,blue-collar,single,secondary,3,yes,no,unknown,may,929,3,-1,0,unknown,engage
31,admin.,married,secondary,307,yes,no,unknown,may,538,1,-1,0,unknown,engage
28,blue-collar,single,secondary,759,yes,no,unknown,may,710,1,-1,0,unknown,engage
32,blue-collar,married,secondary,-1,yes,no,unknown,may,653,1,-1,0,unknown,engage
60,technician,married,primary,65,yes,no,unknown,may,1028,2,-1,0,unknown,engage
26,blue-collar,single,secondary,82,yes,no,unknown,may,654,1,-1,0,unknown,engage
40,blue-collar,married,secondary,10,yes,no,unknown,may,1692,2,-1,0,unknown,engage
33,blue-collar,divorced,primary,390,yes,no,unknown,may,665,2,-1,0,unknown,engage
32,management,single,tertiary,311,no,no,unknown,may,757,2,-1,0,unknown,engage
35,blue-collar,married,primary,414,no,no,unknown,may,504,4,-1,0,unknown,engage
33,management,divorced,secondary,5,yes,no,unknown,may,1346,1,-1,0,unknown,engage
38,management,married,tertiary,119,yes,no,unknown,may,568,4,-1,0,unknown,engage
23,entrepreneur,single,primary,4,yes,no,unknown,may,395,2,-1,0,unknown,engage
60,blue-collar,married,primary,1262,yes,yes,unknown,may,1015,1,-1,0,unknown,engage
48,management,married,tertiary,1949,yes,no,unknown,may,683,2,-1,0,unknown,engage
45,entrepreneur,divorced,tertiary,-395,yes,no,unknown,may,470,1,-1,0,unknown,engage
36,blue-collar,married,secondary,1165,yes,no,unknown,may,1001,4,-1,0,unknown,engage
52,management,married,unknown,2240,yes,no,unknown,may,845,1,-1,0,unknown,engage
35,blue-collar,divorced,primary,300,yes,no,unknown,may,945,2,-1,0,unknown,engage
43,technician,married,secondary,3285,yes,no,unknown,may,1721,2,-1,0,unknown,engage
52,housemaid,married,secondary,3923,yes,no,unknown,may,942,3,-1,0,unknown,engage
53,technician,divorced,primary,1443,yes,no,unknown,may,476,1,-1,0,unknown,engage
48,blue-collar,divorced,primary,24,yes,no,unknown,may,832,1,-1,0,unknown,engage
41,blue-collar,single,primary,1618,yes,no,unknown,may,1553,1,-1,0,unknown,engage
39,management,divorced,tertiary,517,yes,yes,unknown,may,1328,1,-1,0,unknown,engage
59,retired,married,secondary,1521,yes,yes,unknown,may,1125,2,-1,0,unknown,engage
41,blue-collar,married,secondary,2823,yes,no,unknown,may,858,1,-1,0,unknown,engage
48,blue-collar,married,secondary,1405,yes,no,unknown,may,629,2,-1,0,unknown,engage
40,admin.,married,secondary,1535,yes,no,unknown,may,704,1,-1,0,unknown,engage
48,blue-collar,married,secondary,1596,yes,no,unknown,may,760,1,-1,0,unknown,engage
60,retired,married,primary,1542,yes,no,unknown,may,930,1,-1,0,unknown,engage
40,technician,single,unknown,3652,yes,no,unknown,may,1028,2,-1,0,unknown,engage
57,technician,married,tertiary,-1,no,no,unknown,may,850,2,-1,0,unknown,engage
51,blue-collar,married,secondary,7180,yes,no,unknown,may,927,1,-1,0,unknown,engage
41,blue-collar,divorced,secondary,5291,yes,no,unknown,may,1423,3,-1,0,unknown,engage
41,blue-collar,married,secondary,1384,yes,no,unknown,may,1162,4,-1,0,unknown,engage
52,blue-collar,divorced,primary,-191,yes,no,unknown,may,755,1,-1,0,unknown,engage
59,blue-collar,married,primary,320,yes,no,unknown,may,695,1,-1,0,unknown,engage
44,blue-collar,married,unknown,146,yes,no,unknown,may,483,1,-1,0,unknown,engage
49,unknown,married,primary,341,yes,yes,unknown,may,520,2,-1,0,unknown,engage
40,services,married,primary,-9,yes,no,unknown,may,920,2,-1,0,unknown,engage
41,admin.,married,primary,-306,yes,no,unknown,may,500,1,-1,0,unknown,engage
44,technician,married,tertiary,4580,yes,no,unknown,may,911,2,-1,0,unknown,engage
60,services,single,primary,313,yes,no,unknown,may,920,2,-1,0,unknown,engage
29,management,married,tertiary,10576,no,no,unknown,may,1224,2,-1,0,unknown,engage
41,retired,divorced,primary,-233,yes,no,unknown,may,1156,2,-1,0,unknown,engage
41,blue-collar,married,primary,2453,yes,no,unknown,may,1052,1,-1,0,unknown,engage
42,technician,single,secondary,1364,yes,no,unknown,may,1867,6,-1,0,unknown,engage
36,services,single,unknown,281,yes,no,unknown,may,515,1,-1,0,unknown,engage
39,technician,married,tertiary,94,yes,yes,unknown,may,813,1,-1,0,unknown,engage
31,self-employed,single,tertiary,144,yes,no,unknown,may,676,1,-1,0,unknown,engage
26,blue-collar,married,secondary,246,yes,no,unknown,may,1143,3,-1,0,unknown,engage
31,blue-collar,married,secondary,92,yes,no,unknown,may,688,1,-1,0,unknown,engage
29,admin.,single,secondary,163,yes,yes,unknown,may,803,1,-1,0,unknown,engage
37,services,divorced,secondary,49,yes,no,unknown,may,619,2,-1,0,unknown,engage
33,blue-collar,single,secondary,-416,yes,no,unknown,may,767,2,-1,0,unknown,engage
24,technician,single,secondary,409,yes,no,unknown,may,912,1,-1,0,unknown,engage
50,admin.,divorced,secondary,363,yes,no,unknown,may,1340,1,-1,0,unknown,engage
27,technician,single,tertiary,3706,yes,no,unknown,may,897,1,-1,0,unknown,engage
54,management,single,tertiary,4393,yes,no,unknown,may,1297,3,-1,0,unknown,engage
30,technician,single,secondary,863,yes,no,unknown,may,1193,5,-1,0,unknown,engage
34,blue-collar,married,primary,695,yes,yes,unknown,may,1064,4,-1,0,unknown,engage
37,management,single,secondary,792,yes,no,unknown,may,1187,4,-1,0,unknown,engage
41,admin.,single,secondary,1020,yes,no,unknown,may,882,1,-1,0,unknown,engage
47,blue-collar,married,secondary,863,yes,no,unknown,may,943,2,-1,0,unknown,engage
31,admin.,married,secondary,97,yes,no,unknown,may,607,1,-1,0,unknown,engage
31,blue-collar,married,secondary,754,yes,no,unknown,may,1022,4,-1,0,unknown,engage
43,services,divorced,secondary,1040,yes,no,unknown,may,552,3,-1,0,unknown,engage
37,management,divorced,tertiary,122,yes,no,unknown,may,1622,2,-1,0,unknown,engage
30,technician,single,tertiary,880,yes,yes,unknown,may,967,6,-1,0,unknown,engage
41,technician,married,secondary,501,yes,no,unknown,may,579,5,-1,0,unknown,engage
36,blue-collar,married,secondary,4438,yes,no,unknown,may,446,1,-1,0,unknown,engage
35,blue-collar,divorced,secondary,0,yes,no,unknown,may,1205,1,-1,0,unknown,engage
29,services,single,secondary,271,yes,no,unknown,may,1882,2,-1,0,unknown,engage
35,blue-collar,married,primary,102,yes,no,unknown,may,1334,1,-1,0,unknown,engage
31,blue-collar,married,secondary,2,yes,no,unknown,may,182,2,-1,0,unknown,engage
35,services,married,secondary,4170,yes,no,unknown,may,1777,1,-1,0,unknown,engage
34,technician,single,secondary,85,yes,no,unknown,may,1182,4,-1,0,unknown,engage
31,admin.,single,secondary,431,yes,yes,unknown,may,1045,1,-1,0,unknown,engage
44,technician,divorced,secondary,982,yes,no,unknown,may,650,3,-1,0,unknown,engage
36,blue-collar,married,primary,408,yes,yes,unknown,may,1063,2,-1,0,unknown,engage
35,blue-collar,married,unknown,4822,yes,no,unknown,may,843,2,-1,0,unknown,engage
41,blue-collar,married,primary,1250,yes,no,unknown,may,1392,2,-1,0,unknown,engage
31,blue-collar,single,primary,216,yes,no,unknown,may,565,1,-1,0,unknown,engage
34,blue-collar,married,secondary,1207,yes,no,unknown,may,905,1,-1,0,unknown,engage
32,technician,married,secondary,791,yes,no,unknown,may,783,2,-1,0,unknown,engage
36,management,married,tertiary,849,yes,yes,unknown,may,958,2,-1,0,unknown,engage
30,blue-collar,single,secondary,239,yes,no,unknown,may,412,1,-1,0,unknown,engage
37,technician,single,secondary,1211,yes,no,unknown,may,795,1,-1,0,unknown,engage
36,blue-collar,married,primary,599,yes,no,unknown,may,649,2,-1,0,unknown,engage
31,management,single,tertiary,825,yes,no,unknown,may,506,2,-1,0,unknown,engage
27,technician,married,secondary,2183,yes,yes,unknown,may,857,1,-1,0,unknown,engage
34,retired,married,primary,4499,no,no,unknown,may,1681,1,-1,0,unknown,engage
30,technician,single,tertiary,1289,yes,no,unknown,may,1697,2,-1,0,unknown,engage
32,technician,single,tertiary,4665,yes,no,unknown,may,860,2,-1,0,unknown,engage
37,technician,single,secondary,3326,yes,no,unknown,may,799,1,-1,0,unknown,engage
32,blue-collar,married,secondary,783,yes,no,unknown,may,923,3,-1,0,unknown,engage
33,blue-collar,married,secondary,0,yes,no,unknown,may,521,3,-1,0,unknown,engage
35,blue-collar,married,primary,994,yes,no,unknown,may,1349,8,-1,0,unknown,engage
35,self-employed,divorced,tertiary,1354,yes,no,unknown,may,736,2,-1,0,unknown,engage
30,blue-collar,single,secondary,239,yes,no,unknown,may,785,1,-1,0,unknown,engage
45,blue-collar,divorced,primary,-311,yes,no,unknown,may,1030,1,-1,0,unknown,engage
45,admin.,married,secondary,149,yes,no,unknown,may,893,3,-1,0,unknown,engage
33,blue-collar,married,secondary,1464,yes,no,unknown,may,588,3,-1,0,unknown,engage
44,management,divorced,tertiary,5773,no,no,unknown,may,597,6,-1,0,unknown,engage
40,blue-collar,married,primary,278,yes,no,unknown,may,1015,3,-1,0,unknown,engage
31,blue-collar,married,secondary,2910,yes,no,unknown,may,1392,2,-1,0,unknown,engage
30,technician,married,tertiary,541,yes,no,unknown,may,414,2,-1,0,unknown,engage
44,technician,divorced,secondary,1262,yes,no,unknown,may,788,11,-1,0,unknown,engage
34,services,married,secondary,-538,yes,no,unknown,may,682,1,-1,0,unknown,engage
37,blue-collar,married,secondary,125,no,no,unknown,may,679,2,-1,0,unknown,engage
28,self-employed,single,tertiary,0,yes,no,unknown,may,1560,2,-1,0,unknown,engage
32,admin.,single,secondary,620,yes,no,unknown,may,1234,3,-1,0,unknown,engage
